1670847455.3977406	[[334, 64, 22, 22]]
1670847455.4269865	[]
1670847455.4710085	[]
1670847455.5108721	[]
1670847455.5380776	[[328, 180, 22, 22], [335, 66, 21, 21]]
1670847455.5612657	[[329, 179, 21, 21], [336, 68, 20, 20]]
1670847455.6131978	[[329, 178, 22, 22], [336, 67, 20, 20]]
1670847455.6521463	[]
1670847455.6831555	[]
1670847455.7143204	[[328, 177, 23, 23], [335, 65, 22, 22]]
1670847455.7417407	[[337, 67, 20, 20]]
1670847455.7801163	[[330, 180, 20, 20]]
1670847455.79658	[[334, 66, 21, 21]]
1670847455.8310175	[]
1670847455.8619978	[[335, 64, 22, 22]]
1670847455.8964052	[]
1670847455.942496	[[336, 67, 20, 20]]
1670847455.984859	[[335, 67, 21, 21]]
1670847456.0279331	[]
1670847456.054103	[[328, 179, 22, 22]]
1670847456.0778866	[[328, 177, 23, 23]]
1670847456.11982	[[328, 177, 23, 23]]
1670847456.1452382	[[328, 178, 23, 23]]
1670847456.161223	[[336, 64, 22, 22], [328, 179, 23, 23]]
1670847456.196927	[[335, 66, 21, 21]]
1670847456.2435298	[]
1670847456.273366	[[329, 178, 22, 22]]
1670847456.2971315	[[328, 178, 22, 22], [334, 66, 21, 21]]
1670847456.3259594	[]
1670847456.3508127	[[334, 66, 22, 22]]
1670847456.4115784	[[336, 66, 21, 21]]
1670847456.446929	[[334, 66, 21, 21]]
1670847456.4780083	[[335, 67, 21, 21]]
1670847456.5099142	[[335, 65, 21, 21]]
1670847456.5302122	[]
1670847456.5791545	[]
1670847456.60462	[[334, 66, 22, 22]]
1670847456.628083	[]
1670847456.6549096	[]
1670847456.7178326	[[328, 178, 22, 22], [333, 64, 22, 22]]
1670847456.7419503	[[335, 65, 22, 22]]
1670847456.770727	[[328, 177, 23, 23]]
1670847456.801849	[[335, 66, 21, 21]]
1670847456.841706	[[327, 177, 24, 24], [333, 64, 25, 25]]
1670847456.8643968	[[335, 66, 22, 22]]
1670847456.9019728	[[334, 66, 21, 21]]
1670847456.9484572	[[329, 179, 22, 22]]
1670847456.9652748	[]
1670847456.9958065	[]
1670847457.047285	[[334, 68, 21, 21], [595, 313, 41, 41]]
1670847457.0791373	[[336, 66, 22, 22], [596, 316, 39, 39]]
1670847457.101312	[[334, 66, 22, 22], [593, 317, 43, 43]]
1670847457.1274695	[[592, 318, 42, 42]]
1670847457.157335	[[337, 65, 22, 22]]
1670847457.2042572	[[328, 180, 22, 22]]
1670847457.2265294	[]
1670847457.2619731	[]
1670847457.3093495	[]
1670847457.3380256	[[328, 179, 23, 23], [549, 307, 81, 81]]
1670847457.3668084	[[337, 67, 20, 20]]
1670847457.4089978	[]
1670847457.4382207	[[328, 179, 22, 22], [548, 313, 80, 80]]
1670847457.4665873	[[542, 305, 86, 86]]
1670847457.5033863	[[337, 64, 22, 22]]
1670847457.526689	[]
1670847457.5697222	[]
1670847457.6035204	[]
1670847457.6241505	[[328, 178, 23, 23]]
1670847457.6735017	[]
1670847457.7261999	[]
1670847457.761445	[[328, 179, 22, 22], [544, 333, 87, 87]]
1670847457.7874362	[[329, 180, 22, 22], [544, 335, 81, 81]]
1670847457.8137527	[[330, 178, 21, 21], [335, 66, 22, 22]]
1670847457.8394144	[[329, 177, 21, 21], [336, 65, 22, 22]]
1670847457.8632977	[[336, 65, 22, 22]]
1670847457.9013846	[]
1670847457.9289427	[[336, 64, 23, 23]]
1670847457.9698224	[[329, 180, 22, 22]]
1670847457.9958854	[[335, 65, 22, 22]]
1670847458.0452485	[]
1670847458.0834332	[[329, 178, 21, 21]]
1670847458.1053534	[[328, 179, 23, 23], [335, 65, 21, 21]]
1670847458.1323748	[]
1670847458.1797116	[[337, 66, 21, 21]]
1670847458.2144082	[]
1670847458.2415755	[[328, 177, 22, 22]]
1670847458.266707	[[335, 66, 21, 21]]
1670847458.2895179	[[337, 66, 21, 21]]
1670847458.3144627	[[328, 177, 22, 22]]
1670847458.3569248	[[336, 67, 22, 22]]
1670847458.4055355	[[329, 179, 22, 22], [334, 65, 21, 21]]
1670847458.4433637	[[329, 179, 22, 22], [336, 64, 22, 22]]
1670847458.4727426	[[327, 177, 25, 25]]
1670847458.504535	[[335, 66, 21, 21]]
1670847458.5331125	[[327, 178, 23, 23]]
1670847458.5709343	[[336, 67, 21, 21]]
1670847458.5954077	[]
1670847458.6385841	[[335, 65, 22, 22]]
1670847458.6735783	[]
1670847458.7014937	[]
1670847458.7385147	[]
1670847458.7687678	[[329, 179, 22, 22], [334, 50, 22, 22], [334, 66, 22, 22]]
1670847458.8019335	[]
1670847458.8330204	[[328, 179, 21, 21], [336, 67, 21, 21]]
1670847458.8668585	[]
1670847458.897604	[[335, 66, 21, 21]]
1670847458.9281528	[]
1670847458.957737	[[329, 178, 22, 22], [335, 67, 21, 21]]
1670847459.01194	[]
1670847459.041687	[[335, 65, 22, 22]]
1670847459.0726016	[[329, 178, 22, 22]]
1670847459.1018043	[]
1670847459.13861	[[328, 179, 22, 22], [336, 66, 21, 21]]
1670847459.1683652	[]
1670847459.2047987	[[329, 178, 22, 22]]
1670847459.234068	[]
1670847459.2652788	[]
1670847459.294172	[[328, 177, 22, 22]]
1670847459.318584	[]
1670847459.3579557	[[336, 65, 22, 22]]
1670847459.3856845	[]
1670847459.4450767	[[336, 64, 22, 22]]
1670847459.475573	[[328, 179, 23, 23], [335, 65, 22, 22]]
1670847459.5001135	[[327, 177, 24, 24]]
1670847459.5232773	[[327, 178, 23, 23], [337, 66, 21, 21]]
